class_viagem,Dia_semana,timestamp
esperado,Sexta-feira,1548989160
acima do esperado,Sexta-feira,1548991680
esperado,Sexta-feira,1548995400
esperado,Sexta-feira,1548998880
esperado,Quinta-feira,1548902040
acima do esperado,Quinta-feira,1548905340
esperado,Quinta-feira,1548909240
esperado,Quinta-feira,1548912480
esperado,Quinta-feira,1548915420
esperado,Quarta-feira,1548815640
esperado,Quarta-feira,1548819000
esperado,Quarta-feira,1548823440
esperado,Quarta-feira,1548826320
esperado,Quarta-feira,1548828960
esperado,Terça-feira,1548729600
acima do esperado,Terça-feira,1548732660
esperado,Terça-feira,1548736320
esperado,Terça-feira,1548739620
abaixo do esperado,Terça-feira,1548741540
esperado,Terça-feira,1548742500
abaixo do esperado,Terça-feira,1548745920
esperado,Segunda-feira,1548642600
esperado,Segunda-feira,1548646020
esperado,Domingo,1548556380
acima do esperado,Domingo,1548559680
esperado,Domingo,1548563460
acima do esperado,Domingo,1548566940
esperado,Domingo,1548570540
esperado,Sábado,1548469980
esperado,Sábado,1548473460
esperado,Sábado,1548476820
acima do esperado,Sábado,1548480660
esperado,Sábado,1548484200
esperado,Sexta-feira,1548383820
acima do esperado,Sexta-feira,1548387000
esperado,Sexta-feira,1548390600
esperado,Sexta-feira,1548394080
acima do esperado,Quinta-feira,1548297120
esperado,Quinta-feira,1548300780
acima do esperado,Quinta-feira,1548304020
esperado,Quinta-feira,1548307680
esperado,Quarta-feira,1548211440
acima do esperado,Quarta-feira,1548214140
esperado,Quarta-feira,1548217980
esperado,Quarta-feira,1548221160
abaixo do esperado,Quarta-feira,1548223200
esperado,Terça-feira,1548124800
acima do esperado,Terça-feira,1548127680
esperado,Terça-feira,1548131280
acima do esperado,Terça-feira,1548133200
acima do esperado,Terça-feira,1548137760
esperado,Segunda-feira,1548038040
acima do esperado,Segunda-feira,1548041400
esperado,Segunda-feira,1548045060
esperado,Segunda-feira,1548048360
esperado,Domingo,1547951400
esperado,Domingo,1547954940
esperado,Domingo,1547958480
esperado,Domingo,1547962140
esperado,Domingo,1547965620
esperado,Sábado,1547865360
acima do esperado,Sábado,1547868540
esperado,Sábado,1547872200
acima do esperado,Sábado,1547875620
esperado,Sexta-feira,1547779380
acima do esperado,Sexta-feira,1547782080
esperado,Sexta-feira,1547785980
esperado,Sexta-feira,1547789280
esperado,Quinta-feira,1547693100
acima do esperado,Quinta-feira,1547695740
esperado,Sexta-feira,1551411240
esperado,Sexta-feira,1551414600
esperado,Sexta-feira,1551417600
abaixo do esperado,Sexta-feira,1551420480
esperado,Sexta-feira,1551421620
esperado,Sexta-feira,1551424380
esperado,Quinta-feira,1551325380
esperado,Quinta-feira,1551328200
acima do esperado,Quinta-feira,1551331980
esperado,Quinta-feira,1551335580
acima do esperado,Quinta-feira,1551338040
esperado,Quarta-feira,1551239100
acima do esperado,Quarta-feira,1551241560
esperado,Quarta-feira,1551245280
esperado,Quarta-feira,1551248880
esperado,Quarta-feira,1551251700
esperado,Terça-feira,1551152640
abaixo do esperado,Terça-feira,1551154680
acima do esperado,Terça-feira,1551155340
esperado,Terça-feira,1551159000
abaixo do esperado,Terça-feira,1551161040
esperado,Terça-feira,1551162300
abaixo do esperado,Terça-feira,1551164220
esperado,Terça-feira,1551165240
acima do esperado,Segunda-feira,1551065340
esperado,Segunda-feira,1551069060
esperado,Segunda-feira,1551072540
esperado,Segunda-feira,1551076140
abaixo do esperado,Segunda-feira,1551078900
abaixo do esperado,Segunda-feira,1551079500
esperado,Domingo,1550978940
acima do esperado,Domingo,1550982480
esperado,Domingo,1550986020
esperado,Domingo,1550989620
esperado,Domingo,1550993280
esperado,Sábado,1550892720
esperado,Sábado,1550896140
esperado,Sábado,1550899740
esperado,Sábado,1550903340
esperado,Sábado,1550906940
esperado,Sexta-feira,1550806740
acima do esperado,Sexta-feira,1550809740
acima do esperado,Sexta-feira,1550813460
esperado,Sexta-feira,1550817000
esperado,Quinta-feira,1550720700
esperado,Quinta-feira,1550723460
acima do esperado,Quinta-feira,1550726940
esperado,Quinta-feira,1550730600
abaixo do esperado,Quinta-feira,1550732280
esperado,Quinta-feira,1550733360
acima do esperado,Quarta-feira,1550633640
esperado,Quarta-feira,1550637240
esperado,Quarta-feira,1550640660
esperado,Quarta-feira,1550644080
esperado,Quarta-feira,1550646900
esperado,Terça-feira,1550547480
acima do esperado,Terça-feira,1550550480
esperado,Terça-feira,1550554140
esperado,Terça-feira,1550557620
esperado,Segunda-feira,1550461380
esperado,Segunda-feira,1550464140
esperado,Segunda-feira,1550467740
esperado,Segunda-feira,1550471220
esperado,Domingo,1550374320
esperado,Domingo,1550377680
esperado,Domingo,1550381280
esperado,Domingo,1550385060
esperado,Domingo,1550388540
esperado,Sábado,1550284260
acima do esperado,Sábado,1550287560
esperado,Sábado,1550291460
esperado,Sábado,1550294880
acima do esperado,Sábado,1550296920
acima do esperado,Sexta-feira,1550197920
acima do esperado,Sexta-feira,1550201460
esperado,Sexta-feira,1550205060
esperado,Sexta-feira,1550208480
esperado,Quinta-feira,1550111520
esperado,Quinta-feira,1550114940
esperado,Quinta-feira,1550118660
esperado,Quinta-feira,1550121960
esperado,Quarta-feira,1550025720
esperado,Quarta-feira,1550028540
acima do esperado,Quarta-feira,1550032020
esperado,Quarta-feira,1550035680
esperado,Terça-feira,1549938900
esperado,Terça-feira,1549942080
abaixo do esperado,Terça-feira,1549945800
abaixo do esperado,Segunda-feira,1554089640
esperado,Segunda-feira,1554090120
acima do esperado,Segunda-feira,1554092820
esperado,Segunda-feira,1554096660
esperado,Segunda-feira,1554100620
esperado,Segunda-feira,1554102840
esperado,Sábado,1553930760
esperado,Domingo,1554003060
esperado,Domingo,1554006600
esperado,Domingo,1554010200
esperado,Domingo,1554013620
esperado,Domingo,1554017340
esperado,Sábado,1553918160
esperado,Sábado,1553920620
acima do esperado,Sábado,1553923740
esperado,Sábado,1553927280
esperado,Sexta-feira,1553831520
esperado,Sexta-feira,1553833680
esperado,Sexta-feira,1553837340
esperado,Sexta-feira,1553840760
esperado,Quinta-feira,1553744100
esperado,Quinta-feira,1553747340
esperado,Quinta-feira,1553750940
esperado,Quinta-feira,1553754420
esperado,Quinta-feira,1553757360
esperado,Quarta-feira,1553657700
esperado,Quarta-feira,1553661120
acima do esperado,Quarta-feira,1553664480
esperado,Quarta-feira,1553668200
acima do esperado,Quarta-feira,1553670900
esperado,Terça-feira,1553571600
abaixo do esperado,Terça-feira,1553573820
acima do esperado,Terça-feira,1553574600
esperado,Terça-feira,1553578140
esperado,Terça-feira,1553581560
acima do esperado,Segunda-feira,1553484540
esperado,Segunda-feira,1553488200
acima do esperado,Segunda-feira,1553491620
esperado,Segunda-feira,1553495220
esperado,Domingo,1553398140
esperado,Domingo,1553400240
esperado,Domingo,1553401680
esperado,Domingo,1553405220
esperado,Domingo,1553408760
esperado,Sábado,1553312040
esperado,Sábado,1553315460
esperado,Sábado,1553318940
esperado,Sábado,1553322600
esperado,Sábado,1553326260
esperado,Sexta-feira,1553226240
esperado,Sexta-feira,1553229060
esperado,Sexta-feira,1553232540
esperado,Sexta-feira,1553236020
esperado,Sexta-feira,1553239320
esperado,Quinta-feira,1553139180
esperado,Quinta-feira,1553142540
esperado,Quinta-feira,1553145960
esperado,Quinta-feira,1553149860
esperado,Quarta-feira,1553058960
esperado,Quarta-feira,1553062140
esperado,Quarta-feira,1553052840
esperado,Quarta-feira,1553056200
esperado,Terça-feira,1552966620
acima do esperado,Terça-feira,1552969620
esperado,Terça-feira,1552973280
esperado,Terça-feira,1552976580
esperado,Segunda-feira,1552879680
acima do esperado,Segunda-feira,1552882980
esperado,Segunda-feira,1552886940
esperado,Segunda-feira,1552889100
abaixo do esperado,Segunda-feira,1552892280
esperado,Segunda-feira,1552893240
esperado,Domingo,1552793520
esperado,Domingo,1552796820
esperado,Domingo,1552800540
esperado,Domingo,1552804140
esperado,Domingo,1552807860
esperado,Sábado,1552706940
esperado,Sábado,1552710540
esperado,Sábado,1552713960
esperado,Sexta-feira,1552621200
acima do esperado,Sexta-feira,1552624080
acima do esperado,Sexta-feira,1552627800
esperado,Sexta-feira,1552631520
acima do esperado,Sexta-feira,1552634160
